2014-10-03 23:14:16 status unpacked libslang2:armhf 2.2.4-15
2014-10-03 23:14:16 status unpacked libslang2:armhf 2.2.4-15
2014-10-03 23:14:16 install libss2:armhf <none> 1.42.5-1.1
2014-10-03 23:14:16 status half-installed libss2:armhf 1.42.5-1.1
2014-10-03 23:14:16 status unpacked libss2:armhf 1.42.5-1.1
2014-10-03 23:14:16 status unpacked libss2:armhf 1.42.5-1.1
2014-10-03 23:14:16 install libtext-charwidth-perl:armhf <none> 0.04-7
2014-10-03 23:14:16 status half-installed libtext-charwidth-perl:armhf 0.04-7
2014-10-03 23:14:17 status unpacked libtext-charwidth-perl:armhf 0.04-7
2014-10-03 23:14:17 status unpacked libtext-charwidth-perl:armhf 0.04-7
2014-10-03 23:14:17 install libtext-iconv-perl:armhf <none> 1.7-5
2014-10-03 23:14:17 status half-installed libtext-iconv-perl:armhf 1.7-5
2014-10-03 23:14:17 status unpacked libtext-iconv-perl:armhf 1.7-5
2014-10-03 23:14:17 status unpacked libtext-iconv-perl:armhf 1.7-5
2014-10-03 23:14:17 install libtext-wrapi18n-perl:all <none> 0.06-7
2014-10-03 23:14:17 status half-installed libtext-wrapi18n-perl:all 0.06-7
2014-10-03 23:14:17 status unpacked libtext-wrapi18n-perl:all 0.06-7
2014-10-03 23:14:17 status unpacked libtext-wrapi18n-perl:all 0.06-7
2014-10-03 23:14:17 install libtinfo5:armhf <none> 5.9-10
2014-10-03 23:14:17 status half-installed libtinfo5:armhf 5.9-10
2014-10-03 23:14:17 status unpacked libtinfo5:armhf 5.9-10
2014-10-03 23:14:17 status unpacked libtinfo5:armhf 5.9-10
2014-10-03 23:14:17 install libudev0:armhf <none> 175-7.2
2014-10-03 23:14:17 status half-installed libudev0:armhf 175-7.2
2014-10-03 23:14:17 status unpacked libudev0:armhf 175-7.2
2014-10-03 23:14:17 status unpacked libudev0:armhf 175-7.2
2014-10-03 23:14:17 install libustr-1.0-1:armhf <none> 1.0.4-3
2014-10-03 23:14:17 status half-installed libustr-1.0-1:armhf 1.0.4-3
2014-10-03 23:14:17 status unpacked libustr-1.0-1:armhf 1.0.4-3
2014-10-03 23:14:17 status unpacked libustr-1.0-1:armhf 1.0.4-3
2014-10-03 23:14:18 install libuuid1:armhf <none> 2.20.1-5.3
2014-10-03 23:14:18 status half-installed libuuid1:armhf 2.20.1-5.3
2014-10-03 23:14:18 status unpacked libuuid1:armhf 2.20.1-5.3
2014-10-03 23:14:18 status unpacked libuuid1:armhf 2.20.1-5.3
2014-10-03 23:14:18 install login:armhf <none> 1:4.1.5.1-1
2014-10-03 23:14:18 status half-installed login:armhf 1:4.1.5.1-1
2014-10-03 23:14:18 status unpacked login:armhf 1:4.1.5.1-1
2014-10-03 23:14:18 status unpacked login:armhf 1:4.1.5.1-1
2014-10-03 23:14:19 install lsb-base:all <none> 4.1+Debian8+rpi1+deb7u1
2014-10-03 23:14:19 status half-installed lsb-base:all 4.1+Debian8+rpi1+deb7u1
2014-10-03 23:14:19 status unpacked lsb-base:all 4.1+Debian8+rpi1+deb7u1
2014-10-03 23:14:19 status unpacked lsb-base:all 4.1+Debian8+rpi1+deb7u1
2014-10-03 23:14:19 install makedev:all <none> 2.3.1-92
2014-10-03 23:14:19 status half-installed makedev:all 2.3.1-92
2014-10-03 23:14:19 status unpacked makedev:all 2.3.1-92
2014-10-03 23:14:19 status unpacked makedev:all 2.3.1-92
2014-10-03 23:14:19 upgrade mawk:armhf 1.3.3-17 1.3.3-17
2014-10-03 23:14:19 status half-configured mawk:armhf 1.3.3-17
2014-10-03 23:14:19 status unpacked mawk:armhf 1.3.3-17
2014-10-03 23:14:19 status half-installed mawk:armhf 1.3.3-17
2014-10-03 23:14:19 status half-installed mawk:armhf 1.3.3-17
2014-10-03 23:14:19 status unpacked mawk:armhf 1.3.3-17
2014-10-03 23:14:19 status unpacked mawk:armhf 1.3.3-17
2014-10-03 23:14:20 install mount:armhf <none> 2.20.1-5.3
2014-10-03 23:14:20 status half-installed mount:armhf 2.20.1-5.3
2014-10-03 23:14:20 status unpacked mount:armhf 2.20.1-5.3
2014-10-03 23:14:20 status unpacked mount:armhf 2.20.1-5.3
2014-10-03 23:14:20 install mountall:armhf <none> 2.46
2014-10-03 23:14:20 status half-installed mountall:armhf 2.46
2014-10-03 23:14:20 status unpacked mountall:armhf 2.46
2014-10-03 23:14:20 status unpacked mountall:armhf 2.46
